food,calories,protein,carbs,fat
"Hummus, commercial",594.5,7.35,14.9,17.1
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",129.5,3.35,4.91,1.9
"Tomatoes, grape, raw",70.0,0.83,5.51,0.63
"Beans, snap, green, canned, regular pack, drained solids",53.5,1.04,4.11,0.39
"Broccoli, raw",82.0,2.57,6.29,0.34
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",111.0,3.38,5.19,0.95
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",88.5,3.43,4.89,0.08
"Milk, whole, 3.25% milkfat, with added vitamin D",156.0,3.28,4.67,3.2
"Frankfurter, beef, unheated",812.0,11.7,2.89,28.0
"Nuts, almonds, dry roasted, with salt added",1605.0,20.4,16.2,57.8
"Cheese, ricotta, whole milk",407.0,7.81,6.86,11.0
"Kale, raw",91.5,2.92,4.42,1.49
"Egg, whole, raw, frozen, pasteurized",388.5,12.3,0.91,10.3
"Egg, white, raw, frozen, pasteurized",124.5,10.1,0.74,0.16
"Egg, white, dried",973.0,79.9,6.02,0.65
"Sauce, salsa, ready-to-serve",75.5,1.44,6.74,0.19
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",849.0,13.3,3.37,28.7
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",749.0,4.52,36.3,14.4
"Pickles, cucumber, dill or kosher dill",31.0,0.48,1.99,0.43
"Peanut butter, smooth style, with salt",1548.5,22.5,22.3,51.1
"Cheese, parmesan, grated",1090.5,29.6,12.4,28.0
"Cheese, pasteurized process, American, vitamin D fortified",948.0,18.0,5.27,30.6
"Grapefruit juice, white, canned or bottled, unsweetened",97.0,0.55,7.59,0.7
"Peaches, yellow, raw",108.0,0.91,10.1,0.27
"Seeds, sunflower seed kernels, dry roasted, with salt added",1586.0,21.0,17.1,56.1
"Sausage, Italian, pork, mild, cooked, pan-fried",836.0,18.2,2.15,26.2
"Bread, white, commercially prepared",700.0,9.43,49.2,3.59
"Sausage, turkey, breakfast links, mild, raw",437.5,16.7,0.93,10.4
"Cheese, swiss",1016.5,27.0,1.44,31.0
"Kale, frozen, cooked, boiled, drained, without salt",93.5,2.94,5.3,1.21
"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",95.0,0.81,7.92,0.47
"Mustard, prepared, yellow",157.5,4.25,5.3,3.38
"Figs, dried, uncooked",644.5,3.3,63.9,0.92
"Kiwifruit, green, raw",149.5,1.06,14.0,0.44
"Melons, cantaloupe, raw",87.5,0.82,8.16,0.18
"Nectarines, raw",101.0,1.06,9.18,0.28
"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",121.5,0.91,11.8,0.15
"Strawberries, raw",81.5,0.64,7.63,0.22
"Lettuce, cos or romaine, raw",43.5,1.24,3.24,0.26
"Cheese, cheddar",1059.0,23.3,2.44,34.0
"Cheese, cottage, lowfat, 2% milkfat",218.0,11.0,4.31,2.3
"Cheese, mozzarella, low moisture, part-skim",769.0,23.7,4.44,20.4
"Egg, whole, dried",1492.5,48.1,1.87,39.8
"Egg, yolk, raw, frozen, pasteurized",768.0,15.6,0.59,25.1
"Egg, yolk, dried",1697.0,34.2,1.07,55.5
"Cheese, dry white, queso seco",843.0,24.5,2.07,24.3
"Yogurt, Greek, plain, nonfat",158.5,10.3,3.64,0.37
"Yogurt, Greek, strawberry, nonfat",215.0,8.06,12.2,0.15
"Oil, coconut",2156.5,0.0,0.84,99.1
